Volkswagen Passat (North America)/$ 12 800/"/details/volkswagen-passat-north-america-6240383ab7ef1219294163"
Lexus ES/$ 12 700/"/details/lexus-es-624037a5755ef063910232"
MINI Countryman/$ 14 000/"/details/mini-countryman-624011c067db0169716598"
Toyota Ist/$ 6 300/"/details/toyota-ist-623f3f360af95858744952"
Daihatsu YRV/$ 3 750/"/details/daihatsu-yrv-6241b92f32a7c555252929"
Toyota Camry/$ 16 000/"/details/toyota-camry-6241b4f456a41229140250"
Lexus LX/$ 18 700/"/details/lexus-lx-6241b5be46ae6367996521"
Mercedes-Benz E-класс/$ 9 500/"/details/mercedes-benz-e-klass-623324ebb5cc6536997596"
Nissan X-Trail/$ 6 900/"/details/nissan-x-trail-62210adf408e9539103017"
BMW X5/$ 38 500/"/details/bmw-x5-6241b1e3d6da8002173323"
Volkswagen Polo/$ 2 430/"/details/volkswagen-polo-6241aa3f384d3179558559"
Toyota Matrix/$ 5 800/"/details/toyota-matrix-623e4ef117246925300372"
Mercedes-Benz E-класс/$ 18 000/"/details/mercedes-benz-e-klass-6235d8f16cc36881448794"
Honda Stream/$ 4 400/"/details/honda-stream-621c69495292a668369702"
Subaru Outback/$ 6 300/"/details/subaru-outback-6241a5ca44880576150830"
Toyota Windom/$ 4 966/"/details/toyota-windom-6241a6b55aad9023687680"
Lexus LX/$ 36 500/"/details/lexus-lx-623ed573195c9938619706"
Daewoo Nexia/$ 3 487/"/details/daewoo-nexia-624198e892088754363652"
Toyota Alphard/$ 7 800/"/details/toyota-alphard-62419826e5351314776732"
DongFeng S50/$ 21 500/"/details/dongfeng-s50-62388f3a153ef347193346"
BAIC EU5/$ 21 500/"/details/baic-eu5-6238914720da0667439614"
Toyota Ist/$ 5 000/"/details/toyota-ist-623c9f18aab36803119830"
Toyota Alphard/$ 10 000/"/details/toyota-alphard-623f3a81a07b9257963200"
Toyota RAV4/$ 19 800/"/details/toyota-rav4-6241898745b2e415646746"
Toyota Windom/$ 8 000/"/details/toyota-windom-62408a8a18a45164331919"
Kia Morning/$ 5 300/"/details/kia-morning-624081fadca36938750807"
Toyota Camry/$ 13 800/"/details/toyota-camry-6241854e997ef153164343"
Toyota Estima/$ 15 900/"/details/toyota-estima-6241817ca7b2c507332825"
Toyota 4Runner/$ 13 800/"/details/toyota-4runner-62417496edf80815127834"
Toyota Camry/$ 11 500/"/details/toyota-camry-623f580c0a8d2015623186"
Lexus ES/$ 25 800/"/details/lexus-es-62407e18bbced543239037"
BMW 4 Серия/$ 28 500/"/details/bmw-4-seriya-623c880a01ac4129191973"
Mercedes-Benz S-класс/$ 8 500/"/details/mercedes-benz-s-klass-62416bf2785db652115233"
Hyundai Starex (H-1)/$ 9 700/"/details/hyundai-starex-h-1-6213251946dc7780898212"
Lexus GX/$ 70 000/"/details/lexus-gx-6236ec1a1698c087679784"
Honda Stepwgn/$ 9 000/"/details/honda-stepwgn-62417604324b3651515461"
Toyota Camry/$ 14 800/"/details/toyota-camry-6241758fcd92d727648589"
Lexus ES/$ 28 000/"/details/lexus-es-623d4b29c0bf0555693472"
Honda Civic/$ 4 800/"/details/honda-civic-62406e1a452d8297056341"
Toyota Opa/$ 5 500/"/details/toyota-opa-624077974b7e4764717445"
Lexus LX/$ 33 500/"/details/lexus-lx-622700e0b5696006130020"
Toyota Altezza/$ 6 200/"/details/toyota-altezza-62406f8d3ad6e588203273"
Kia K5 III Седан/$ 29 800/"/details/kia-k5-6241746b95cf4038364604"
Lexus RX/$ 11 700/"/details/lexus-rx-623cad40b6f7d146410870"
Honda CR-V/$ 20 500/"/details/honda-cr-v-624073be7a1d7820753129"
Toyota Avensis/$ 6 900/"/details/toyota-avensis-623c4557847f5235425753"
Mercedes-Benz S-класс/$ 13 500/"/details/mercedes-benz-s-klass-61c6fdd76f82d963402232"
Lexus GX/$ 16 300/"/details/lexus-gx-623ff0911488d083684603"
Land Rover Range Rover Sport/$ 7 500/"/details/land-rover-range-rover-sport-623c3cf35255d279269173"
Lexus RX/$ 14 200/"/details/lexus-rx-623f1e57d7253397358857"
Toyota Prius/$ 13 699/"/details/toyota-prius-62416923131d8117123523"
Toyota Camry/$ 21 500/"/details/toyota-camry-622c657dd6409680545730"
Subaru Legacy/$ 4 900/"/details/subaru-legacy-624162b1981f5342419290"
Toyota Camry/$ 16 300/"/details/toyota-camry-623c40ac66999205870575"
Subaru Forester/$ 4 015/"/details/subaru-forester-622261b5daf97272768255"
Toyota Camry/$ 11 800/"/details/toyota-camry-623ed35d1ed42312051984"
Hyundai Sonata/$ 14 800/"/details/hyundai-sonata-623f0d7d06bfd117976810"
Mercedes-Benz E-класс/$ 8 900/"/details/mercedes-benz-e-klass-62415b643aa59042545275"
Mercedes-Benz E-класс/$ 3 962/"/details/mercedes-benz-e-klass-6241579288452401392968"
BMW 5 Серия/$ 8 000/"/details/bmw-5-seriya-623db3e707dc4159924189"
Toyota Land Cruiser/$ 67 000/"/details/toyota-land-cruiser-62404c8ec29be995287526"
Honda Fit/$ 4 649/"/details/honda-fit-62414a7424256615454410"
Jeep Wrangler/$ 17 000/"/details/jeep-wrangler-623a00880e8fd552490384"
Toyota Windom/$ 7 000/"/details/toyota-windom-6237292cc8ad6386465550"
Toyota Prius/$ 12 700/"/details/toyota-prius-623dbe4315613205390271"
Mercedes-Benz CL-класс AMG/$ 23 000/"/details/mercedes-benz-cl-klass-amg-6219d23a6f51a679090448"
Toyota Camry/$ 35 500/"/details/toyota-camry-62403143c0a26576463096"
Honda Accord/$ 6 500/"/details/honda-accord-623936457bc18953476135"
Hyundai Getz/$ 3 222/"/details/hyundai-getz-623ffd3eafeba709101450"
Toyota RAV4/$ 8 500/"/details/toyota-rav4-6234ca3cde207902881049"
Toyota Camry/$ 16 300/"/details/toyota-camry-623eaee173765832133837"
Toyota Sequoia/$ 26 500/"/details/toyota-sequoia-6163d3c5472c7926204485"
BMW X5/$ 20 000/"/details/bmw-x5-623c0eb0e3173236956375"
Toyota Camry/$ 32 000/"/details/toyota-camry-623c0f8d18811307404733"
Toyota Caldina/$ 5 600/"/details/toyota-caldina-6236bf1ab6418675775958"
Nissan Teana/$ 4 450/"/details/nissan-teana-6236bdae78024096899461"
Toyota Land Cruiser/$ 40 000/"/details/toyota-land-cruiser-623ea04f6f839322113472"
Mercedes-Benz S-класс/$ 14 500/"/details/mercedes-benz-s-klass-623e9d7917124356323308"
BMW X6 M/$ 25 800/"/details/bmw-x6-m-622eebd920563019706718"
Daewoo Matiz/$ 2 536/"/details/daewoo-matiz-6241c911f2a5a233065083"
Toyota Corolla/$ 1 532/"/details/toyota-corolla-6241c90f45be7427285406"
Volkswagen Golf/$ 5 900/"/details/volkswagen-golf-62260dcaf2e7d270642952"
Honda Odyssey/$ 6 500/"/details/honda-odyssey-623ffff4ca568555667687"
Mercedes-Benz S-класс AMG/$ 21 800/"/details/mercedes-benz-s-klass-amg-623895dc33afe832056211"
Toyota Passo/$ 5 100/"/details/toyota-passo-62371d5026125802710049"
Mercedes-Benz E-класс/$ 10 000/"/details/mercedes-benz-e-klass-62372db370f26133714615"
Honda Stream/$ 3 804/"/details/honda-stream-622dfdccaddaf753783494"
